,Open,High,Close,Volume,MA5,MA10,MA20,VMA5,VMA10,VMA20,price_change
462,0.0016019744616428966,0.007345847116816628,0.012838803578240743,-0.3314663594963544,0.005269284348905723,-0.013172736912038574,-0.01505022544085588,-0.07415339797079679,0.02614751701025453,0.06751978225896371,10.325450454355353
461,0.009190435153704213,0.022917080011274127,0.022930806499632972,0.0529422292305759,0.008722706365508204,-0.0041013006779679895,-0.0136938879920947,-0.07841607769617254,0.025636765616915413,0.07555393924174725,13.578802035168943
460,0.023364542205739802,0.02526465138276679,0.018798176223217222,-0.21533374927010318,0.011840670215710336,0.002195977711733299,-0.01257809436711943,-0.14114658876480635,-0.028940877291390277,0.08184041244634721,-6.952488882085367
459,0.025639583675549193,0.03138616660463356,0.037679505131044344,0.17708225297544833,0.01963408226011598,0.00983839311236534,-0.01097821566374646,-0.10280949600300793,-0.017972443352762046,0.08072853396138213,26.001649861321336
458,0.04083147243776253,0.034446924215567165,0.04112336369472436,-0.09036445443507612,0.026846432837720924,0.015579941177952028,-0.008400425153393898,-0.08136408792151828,-0.04957069826277416,0.034984705597884025,3.871940069191062
457,0.03873603950504356,0.04041985897088374,0.04805600071639282,-0.24944386418978493,0.033891054332126025,0.019814576289199914,-0.005929792795070221,-0.06495844718444244,-0.06865207466738577,0.023389369015031525,8.758742735334899
456,0.04455834958238447,0.03709165652016,0.018184271000996066,0.31264120401503503,0.032941587914725234,0.02106684192521091,-0.003921514141656091,-0.013015037462798085,-0.04478855076630861,0.020751421819821037,-43.51863847262051
455,0.022586238545015513,0.017627615402088237,0.005906166556572057,-0.19756544835295187,0.030362753260523512,0.02133646849755788,-0.0025344530269286736,-0.009461129961380044,-0.0744055950884348,0.024266837744648884,-18.83923709543954
454,0.01095658576842462,0.02230790009841832,0.01989122698473289,1.0757147625010473,0.026804500566920852,0.023454535015882794,-0.0005688877627846312,0.17027788006058353,0.03473837756972964,0.07962431213974863,19.3022784089693
453,0.12264316108235285,0.11806801079000051,0.07707425243992128,2.1681139211605083,0.03399588500912598,0.03065805827375012,0.00536452655726527,0.6220049910682444,0.2715544607022755,0.17743370302089745,79.21453562261192
452,0.07768115729743719,0.09199213891044655,0.09472777090330609,0.20650907071487512,0.0433318055865326,0.03885021229688945,0.01337291236660798,0.7132019244839254,0.32540801118928986,0.1779310083415524,22.905077083594332
451,0.08748478994694464,0.0934928016226031,0.0972732315808087,-0.03362041228066148,0.059152252326943655,0.04628741191745722,0.021631583649921238,0.6439447815897195,0.3167427351875878,0.17333459244901084,2.415036734664825
450,0.09710881405936145,0.09558778620096042,0.10341228380302048,-0.013358270683548223,0.07865674857335736,0.0547521883637474,0.029016503847457686,0.6807887811137487,0.336961310279259,0.15612359704040513,7.203780081883789
449,0.10254197230634032,0.10958406614998606,0.11528610919866455,-0.08442343780615558,0.09773892694957076,0.06251593572193559,0.03672364785878823,0.4487449930229295,0.31078351640562585,0.14850499034809905,14.73859921657146
448,0.11590784094147,0.10887087991054512,0.1041160288138594,0.00045504503440452204,0.10314818988277463,0.06881770788784292,0.04274848381903107,0.01518304603092635,0.3198749213754861,0.13723095657484885,-15.801083403291004
447,0.09939882290726176,0.11164933463503335,0.11961339235041879,-0.004986701174398811,0.10812614945917809,0.0759762933836523,0.048448098534653816,-0.027119052168567026,0.3443460875869102,0.13993078673652426,19.495213668197458
446,0.11571326502628909,0.11687936705759938,0.12123050854553807,-0.09212747171335745,0.11291840897918148,0.08628501599971461,0.0542316413134043,-0.03882127841818328,0.3038270804171179,0.13158779420844446,1.1222631736714876
445,0.12240368303289939,0.12906296531471284,0.1309481790143563,0.04644568635955304,0.11842651226498524,0.09879419103120757,0.060624411907537645,-0.0268596545948947,0.3282535973632059,0.1289877777203956,11.68912159336768
